Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
Shell Nakhonsithammarat,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 8.1761870<br>Longitude: 99.6317908<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,8.1761870,99.6317908,etc: Sharge,"
            99.6317908,8.176187,0
          "
SHELL NTI Buriram Intown Before Bypass,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 14.977017393374854<br>Longitude: 103.07055556219034<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,14.977017393374854,103.07055556219034,etc: Sharge,"
            103.07055556219,14.9770173933749,0
          "
SHELL NTI Phaholyothin Wangnoi,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 14.185445587205951<br>Longitude: 100.6277225026994<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,14.185445587205951,100.6277225026994,etc: Sharge,"
            100.627722502699,14.185445587206,0
          "
SHELL NUAN CHAN,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 13.838971395668413<br>Longitude: 100.63483231374332<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,13.838971395668413,100.63483231374332,etc: Sharge,"
            100.634832313743,13.8389713956684,0
          "
Shell Pak Chong,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 14.6642606<br>Longitude: 101.4143777<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,14.6642606,101.4143777,etc: Sharge,"
            101.4143777,14.6642606,0
          "
Shell Phuket,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 7.9822513<br>Longitude: 98.3620823<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,7.9822513,98.3620823,etc: Sharge,"
            98.3620823,7.9822513,0
          "
Shell Prasert Manukit,Name-EN: <br>Power: 180 kW<br>Description: 2x CCS2: 180 kW<br>Address: <br>Latitude: 13.831124153247785<br>Longitude: 100.61335473558229<br>Provider: Sharge,#icon-1899-DB4436-labelson,,180 kW,2x CCS2: 180 kW,,13.831124153247785,100.61335473558229,etc: Sharge,"
            100.613354735582,13.8311241532478,0
          "
Shell Rayong,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 12.7800027<br>Longitude: 101.1641632<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,12.7800027,101.1641632,etc: Sharge,"
            101.1641632,12.7800027,0
          "
Shell Songkhla,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 7.0093338<br>Longitude: 100.4146241<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,7.0093338,100.4146241,etc: Sharge,"
            100.4146241,7.0093338,0
          "
Shell Surat Thani,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 9.16768003<br>Longitude: 99.13876541<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,9.16768003,99.13876541,etc: Sharge,"
            99.13876541,9.16768003,0
          "
Shell Tak,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 16.9083734<br>Longitude: 99.1211256<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,16.9083734,99.1211256,etc: Sharge,"
            99.1211256,16.9083734,0
          "
Shell HuaHin@Thew Talay,Name-EN: <br>Power: 90 kW<br>Description: 2x CCS2: 90 kW<br>Address: <br>Latitude: 12.758470<br>Longitude: 99.963383<br>Provider: Sharge,#icon-1899-DB4436-labelson,,90 kW,2x CCS2: 90 kW,,12.758470,99.963383,etc: Sharge,"
            99.963383,12.75847,0
          "
90Hit's Pub & Restaurant,Name-EN: <br>Power: 30 kW<br>Description: 1x CCS2<br>Address: ถนน ยันตรกิจโกศล ตำบล ป่าแมต อำเภอเมืองแพร่ แพร่ ประเทศไทย 54000 แพร่<br>Latitude: 18.118559032<br>Longitude: 100.140635402<br>Provider: OneCharge,#icon-1899-DB4436-labelson,,30 kW,1x CCS2,ถนน ยันตรกิจโกศล ตำบล ป่าแมต อำเภอเมืองแพร่ แพร่ ประเทศไทย 54000 แพร่,18.118559032,100.140635402,etc: OneCharge,"
            100.140635402,18.118559032,0
          "
ร้าน ณ.นา Minibus Cafe,Name-EN: <br>Power: 30 kW<br>Description: 1x CCS2<br>Address: 235 ถนน พญาพล ตำบล ในเวียง อำเภอเมืองแพร่ แพร่ ประเทศไทย<br>Latitude: 18.126586882<br>Longitude: 100.138791995<br>Provider: OneCharge,#icon-1899-DB4436-labelson,,30 kW,1x CCS2,235 ถนน พญาพล ตำบล ในเวียง อำเภอเมืองแพร่ แพร่ ประเทศไทย,18.126586882,100.138791995,etc: OneCharge,"
            100.138791995,18.126586882,0
          "
บ้านไม้คาเฟ่ Barbelone        ,"Name-EN: <br>Power: 40 kW<br>Description: 1x CCS2<br>Address: Nai Mueang, Ban Phai District, Khon Kaen 40110<br>Latitude: 16.068419688<br>Longitude: 102.732941843<br>Provider: OneCharge",#icon-1899-DB4436-labelson,,40 kW,1x CCS2,"Nai Mueang, Ban Phai District, Khon Kaen 40110",16.068419688,102.732941843,etc: OneCharge,"
            102.732941843,16.068419688,0
          "
Tesla Center Ramkhamhaeng,"Name-EN: <br>Power: 250 kW<br>Description: 12 Superchargers, available 24/7<br>Address: Tesla Centre, 7, 7/1 Ramkhamhaeng Rd<br>Bangkok<br>Latitude: 13.774519<br>Longitude: 100.667773<br>Provider: Tesla",#icon-1899-DB4436-labelson,,250 kW,"12 Superchargers, available 24/7","Tesla Centre, 7, 7/1 Ramkhamhaeng Rd
Bangkok",13.774519,100.667773,etc: Tesla,"
            100.667773,13.774519,0
          "
Robinson Lifestyle Kamphaengphet,"Name-EN: <br>Power: 250 kW<br>Description: 6 Superchargers, available 24/7, Parking Zone B near Cafe Amazon<br>Address: 651/1 Thanon Charoensuk, Tambon Nai Mueang, KAMPHAENGPHET<br>Latitude: 16.4760888<br>Longitude: 99.5502698<br>Provider: Tesla",#icon-1899-DB4436-labelson,,250 kW,"6 Superchargers, available 24/7, Parking Zone B near Cafe Amazon","651/1 Thanon Charoensuk, Tambon Nai Mueang, KAMPHAENGPHET",16.4760888,99.5502698,etc: Tesla,"
            99.5502698,16.4760888,0
          "
Central Lampang,Name-EN: <br>Power: 250 kW<br>Description: 6 Superchargers<br>Address: <br>Latitude: 18.2827806<br>Longitude: 99.4937586<br>Provider: Tesla,#icon-1899-DB4436-labelson,,250 kW,6 Superchargers,,18.2827806,99.4937586,etc: Tesla,"
            99.4937586,18.2827806,0
          "
Chiang Mai (Coming Soon),Name-EN: <br>Power: 250 kW<br>Description: <br>Address: <br>Latitude: 18.8230676<br>Longitude: 99.0120196<br>Provider: Tesla,#icon-1899-DB4436-labelson,,250 kW,,,18.8230676,99.0120196,etc: Tesla,"
            99.0120196,18.8230676,0
          "
Chumphon (Coming Soon),Name-EN: <br>Power: 250 kW<br>Description: <br>Address: <br>Latitude: 10.8995707<br>Longitude: 99.2765402<br>Provider: Tesla,#icon-1899-DB4436-labelson,,250 kW,,,10.8995707,99.2765402,etc: Tesla,"
            99.2765402,10.8995707,0
          "
