Name,Description,styleUrl,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
โรงไฟฟ้าลำตะคองฯ,"Power: 90 kW<br>Description: CCS2 90 kW<br>Address: 399 หมู่ที่ 12, ถนนมิตรภาพ, ตำบลหนองสาหร่าย อำเภอปากช่อง จังหวัดนครราชสีมา, 30130<br>Latitude: 14.812254<br>Longitude: 101.539209<br>Provider: EleX",#icon-1899-DB4436-labelson,90 kW,CCS2 90 kW,"399 หมู่ที่ 12, ถนนมิตรภาพ, ตำบลหนองสาหร่าย อำเภอปากช่อง จังหวัดนครราชสีมา, 30130",14.812254,101.539209,EleX,"
            101.539209,14.812254,0
          "
โรงไฟฟ้าน้ำพอง,Power: 90 kW<br>Description: CCS2 90 kW<br>Address: 262 หมู่ที่ 1 ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น<br>Latitude: 16.679187<br>Longitude: 102.737605<br>Provider: EleX,#icon-1899-DB4436-labelson,90 kW,CCS2 90 kW,262 หมู่ที่ 1 ต.กุดน้ำใส อ.น้ำพอง จ.ขอนแก่น,16.679187,102.737605,EleX,"
            102.737605,16.679187,0
          "
โรงไฟฟ้าเขื่อนสิรินธร,Power: 90 kW<br>Description: CCS2 90 kW<br>Address: 30 หมู่ 11 ต.นิคมลำโดมน้อย อ.สิรินธร จ.อุบลราชธานี<br>Latitude: 15.200882<br>Longitude: 105.426253<br>Provider: EleX,#icon-1899-DB4436-labelson,90 kW,CCS2 90 kW,30 หมู่ 11 ต.นิคมลำโดมน้อย อ.สิรินธร จ.อุบลราชธานี,15.200882,105.426253,EleX,"
            105.426253,15.200882,0
          "
โรงไฟฟ้าแม่เมาะ,Power: 90 kW<br>Description: CCS2 90 kW<br>CCS2 90 kW<br>Address: 800 หมู่ 6 ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง<br>Latitude: 18.300175<br>Longitude: 99.746251<br>Provider: EleX,#icon-1899-DB4436-labelson,90 kW,"CCS2 90 kW
CCS2 90 kW",800 หมู่ 6 ต.แม่เมาะ อ.แม่เมาะ จ.ลำปาง,18.300175,99.746251,EleX,"
            99.746251,18.300175,0
          "
ERDI-CMU สถาบันฯ พลังงาน มช.,"Power: 50 kW<br>Description: CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW<br>Address: 155 ม.2 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100  <br>Latitude: 18.757285<br>Longitude: 98.939909<br>Provider: EleX",#icon-1899-DB4436-labelson,50 kW,"CCS2 50 kW, CHAdeMO 50 kW, Type2 22 kW",155 ม.2 ต.แม่เหียะ อ.เมือง จ.เชียงใหม่ 50100  ,18.757285,98.939909,EleX,"
            98.939909,18.757285,0
          "
โรงพยาบาลกรุงเทพ พัทยา,"Power: 100 kW<br>Description: CCS2 100 kW, CHAdeMO 100 kW<br>Type2 22 kW<br>Type2 22 kW<br>Address: 301 หมู่ที่ 6 ถ. สุขุมวิท เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150<br>Latitude: 12.953918<br>Longitude: 100.905935<br>Provider: EleX",#icon-1899-DB4436-labelson,100 kW,"CCS2 100 kW, CHAdeMO 100 kW
Type2 22 kW
Type2 22 kW",301 หมู่ที่ 6 ถ. สุขุมวิท เมืองพัทยา อำเภอบางละมุง ชลบุรี 20150,12.953918,100.905935,EleX,"
            100.905935,12.953918,0
          "
มาร์เก็ตวิลเลจ หัวหิน,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A), Type2 22 kW<br>Address: ศูนย์การค้ามาร์เก็ตวิลเลจ หัวหิน (HMV) 234/1 ถ. เพชรเกษม ตำบลหัวหิน อำเภอหัวหิน ประจวบคีรีขันธ์ 77110<br>Latitude: 12.558122<br>Longitude: 99.960226<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,"2x CCS2 125 kW (300A), Type2 22 kW",ศูนย์การค้ามาร์เก็ตวิลเลจ หัวหิน (HMV) 234/1 ถ. เพชรเกษม ตำบลหัวหิน อำเภอหัวหิน ประจวบคีรีขันธ์ 77110,12.558122,99.960226,EleX,"
            99.960226,12.558122,0
          "
Midwinter เขาใหญ่,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A), Type2 22 kW<br>Address: 88 88 หมู่ที่ 10 Thanaratch Rd, Nong Nam Daeng, Pak Chong District, Nakhon Ratchasima 30130<br>Latitude: 14.61726<br>Longitude: 101.406591<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,"2x CCS2 125 kW (300A), Type2 22 kW","88 88 หมู่ที่ 10 Thanaratch Rd, Nong Nam Daeng, Pak Chong District, Nakhon Ratchasima 30130",14.61726,101.406591,EleX,"
            101.406591,14.61726,0
          "
PT นางรอง,Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 244/2 ถนนโชคชัย-เดชอุดม ตำบลนางรอง อำเภอนางรอง จังหวัดบุรีรัมย์ 31110<br>Latitude: 14.633484<br>Longitude: 102.798905<br>Provider: EleX,#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),244/2 ถนนโชคชัย-เดชอุดม ตำบลนางรอง อำเภอนางรอง จังหวัดบุรีรัมย์ 31110,14.633484,102.798905,EleX,"
            102.798905,14.633484,0
          "
PT ตาก,Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 112 หมู่ที่1 ตำบลแม่ท้อ อำเภอเมืองตาก จังหวัดตาก 63000<br>Latitude: 16.852771<br>Longitude: 99.116337<br>Provider: EleX,#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),112 หมู่ที่1 ตำบลแม่ท้อ อำเภอเมืองตาก จังหวัดตาก 63000,16.852771,99.116337,EleX,"
            99.116337,16.852771,0
          "
